img_name,pothole_idx,height,width,box_area,pothole_area,nonpothole_area,mean_depth,max_depth,min_depth,depth_std,depth_range,p90_depth,local_depth_contrast,aspect_ratio,solidity,compactness,depth_skewness,depth_kurtosis,boundary_gradient,weighted_mean_depth,surface_area_px2,surface_area_cm2,severity_label,severity_name
kaggle_pic-1-_jpg.rf.49882cdb272111f43a6656b1494a4918.jpg,0,152,280,42560,28910,13650,0.6720125675201416,0.8021118640899658,0.5126169919967651,0.07015757262706757,0.2894948720932007,0.7646588683128357,0.0027753114700317383,1.8421052630367034,0.9905773513787937,0.7067387409609395,-0.17620067298412323,-0.9217226505279541,0.0022152066230773926,0.6741210560277922,28602.5,7150.625,1,Moderate
kaggle_pic-1-_jpg.rf.49882cdb272111f43a6656b1494a4918.jpg,1,83,312,25896,13084,12812,0.4431912302970886,0.5018487572669983,0.3856818377971649,0.027441086247563362,0.11616691946983337,0.4808652102947235,0.0002587437629699707,3.7590361441254174,0.9757261642857856,0.3408669379860967,-0.006242684554308653,-0.9545972347259521,-0.0002811253070831299,0.4425493195750404,12769.5,3192.375,0,Shallow
kaggle_pic-1-_jpg.rf.49882cdb272111f43a6656b1494a4918.jpg,2,104,261,27144,10430,16714,0.2949537932872772,0.3695593774318695,0.20509439706802368,0.03479813411831856,0.16446498036384583,0.3402673602104187,0.0009091496467590332,2.5096153843740754,0.9312084281943384,0.34566452224279764,-0.112516388297081,-0.7819747924804688,-0.0006184279918670654,0.29853684340230585,10161.5,2540.375,0,Shallow
kaggle_pic-1-_jpg.rf.8d95dd1d29760a2634a45cc7fdd84b31.jpg,0,145,267,38715,27697,11018,0.6536502838134766,0.7774331569671631,0.4950636923313141,0.06724150478839874,0.282369464635849,0.7417606115341187,0.0028392672538757324,1.8413793102178357,0.9924750062704725,0.7090071810394678,-0.20872224867343903,-0.8759055137634277,0.001538395881652832,0.6561934975014235,27390.0,6847.5,1,Moderate
kaggle_pic-1-_jpg.rf.8d95dd1d29760a2634a45cc7fdd84b31.jpg,1,77,308,23716,12558,11158,0.45292234420776367,0.5235368609428406,0.36718276143074036,0.03651316463947296,0.15635409951210022,0.5007094144821167,0.0012310445308685303,3.99999999948052,0.9726213065863977,0.33741051243750436,-0.20627227425575256,-0.8061068058013916,0.0006506443023681641,0.4518298681737366,12245.5,3061.375,0,Shallow
kaggle_pic-1-_jpg.rf.8d95dd1d29760a2634a45cc7fdd84b31.jpg,2,60,268,16080,10109,5971,0.31562840938568115,0.7011890411376953,0.20862148702144623,0.04976774379611015,0.4925675541162491,0.38484254479408264,0.021000832319259644,4.466666665922222,0.9333825769808103,0.3599762587413596,0.3497861623764038,0.28822803497314453,-0.010521501302719116,0.3220032561145881,9835.0,2458.75,1,Moderate
kaggle_pic-1-_jpg.rf.e238c9bf3fe82e8ac55b0014a27fc529.jpg,0,142,270,38340,27001,11339,0.6499943137168884,0.7717391848564148,0.5003224611282349,0.06593765318393707,0.27141672372817993,0.7379440069198608,0.0026323795318603516,1.9014084505703233,0.9942739307344487,0.7105593235115881,-0.149236261844635,-0.9183835983276367,0.00213015079498291,0.6521440157763577,26701.5,6675.375,1,Moderate
kaggle_pic-1-_jpg.rf.e238c9bf3fe82e8ac55b0014a27fc529.jpg,1,67,302,20234,12250,7984,0.4441268742084503,0.5048946142196655,0.37972140312194824,0.029708733782172203,0.12517321109771729,0.4840475916862488,0.0004360377788543701,4.507462685894409,0.9726467902648198,0.35267010370195284,-0.05910291522741318,-0.8520259857177734,-0.0004208385944366455,0.44374857335372575,11946.0,2986.5,0,Shallow
kaggle_pic-1-_jpg.rf.e238c9bf3fe82e8ac55b0014a27fc529.jpg,2,91,260,23660,9789,13871,0.30810239911079407,0.38969555497169495,0.21382415294647217,0.038683585822582245,0.17587140202522278,0.35882335901260376,0.00031432509422302246,2.8571428568288857,0.9325077399371922,0.34430083160390224,-0.052548848092556,-0.8721692562103271,-0.001873612403869629,0.31189344641290134,9526.0,2381.5,0,Shallow
kaggle_pic-10-_jpg.rf.1d433d21e11d000b6b498eacb88fe4a9.jpg,0,183,199,36417,28512,7905,0.6186622977256775,0.7655662894248962,0.4675387144088745,0.07234500348567963,0.29802757501602173,0.7168350219726562,0.0049994587898254395,1.0874316939296484,0.9830368225069014,0.831066361616789,-0.039915844798088074,-0.9852612018585205,-0.005305945873260498,0.6194610067558426,28223.5,7055.875,1,Moderate
kaggle_pic-10-_jpg.rf.1d433d21e11d000b6b498eacb88fe4a9.jpg,1,90,111,9990,6345,3645,0.9233174324035645,0.968864381313324,0.8483701944351196,0.030440254136919975,0.12049418687820435,0.9602320790290833,0.015223681926727295,1.2333333331962963,1.001183431951083,0.6948981935468764,-0.46407631039619446,-0.8295557498931885,0.0030222535133361816,0.9240403448458566,6197.0,1549.25,1,Moderate
kaggle_pic-10-_jpg.rf.1d433d21e11d000b6b498eacb88fe4a9.jpg,2,128,69,8832,5885,2947,0.8122653365135193,0.8941316604614258,0.6953834295272827,0.0483311265707016,0.19874823093414307,0.8700257539749146,0.03483957052230835,0.5390624999578857,0.9874989512526429,0.5876325919370061,-0.4717918336391449,-0.7368671894073486,0.030710995197296143,0.806479426507456,5720.5,1430.125,1,Moderate
