Feature Subset,Num Features,Val Accuracy,Macro F1
Geometric Only,10,0.6582694414019715,0.7476352092169382
Depth Only,10,0.9671412924424972,0.8734719596723376
All Features,20,0.9967141292442497,0.9938050845907133
